metin,labels,tahmin_skoru
"Su şebeke altyapısının yenilenerek, su kayıplarının önlenmesi ve kesintisiz su temininin sağlanmasını talep ediyoruz.",3.0,2.03
Hava kalitesinin iyileştirilmesi için sanayi tesisleri ve araç emisyonlarının denetlenmesini talep ediyoruz.,2.0,2.02
Şehirdeki gürültü seviyesinin kontrol altına alınması ve özellikle yerleşim yerlerinde ses yalıtımına yönelik düzenlemeler yapılmasını talep ediyoruz.,2.0,2.07
Engelli vatandaşların şehirdeki tüm hizmetlere ve mekanlara erişiminin kolaylaştırılması için gerekli düzenlemelerin yapılmasını talep ediyoruz.,2.0,2.04
Sokak hayvanlarının rehabilitasyonu ve sahiplendirilmesi için daha kapsamlı projeler geliştirilmesini talep ediyoruz.,2.0,2.07
"Afetlere hazırlık kapsamında, acil durum toplanma alanlarının belirlenmesi ve halkın bilinçlendirilmesi çalışmalarının yapılmasını talep ediyoruz.",2.0,2.14
Şehirdeki güvenlik önlemlerinin artırılması ve özellikle suç oranının yüksek olduğu bölgelerde caydırıcı tedbirler alınmasını talep ediyoruz.,2.0,2.07
Yerel esnafın desteklenmesi ve ekonomik kalkınmanın sağlanması için projeler geliştirilmesini talep ediyoruz.,2.0,2.13
Şehirdeki bisiklet yollarının uzunluğunun artırılması ve güvenliğinin sağlanmasını talep ediyoruz.,2.0,2.02
Toplu taşıma araçlarında engelli ve yaşlı vatandaşlar için daha uygun düzenlemeler yapılmasını talep ediyoruz.,2.0,2.22
Şehrin estetiğini bozan görüntü kirliliğinin önlenmesi için çalışmalar yapılmasını talep ediyoruz.,2.0,2.03
"Halk sağlığını tehdit eden sinek, böcek gibi zararlılarla mücadele için daha etkili yöntemler uygulanmasını talep ediyoruz.",2.0,2.09
Şehirdeki otopark sorununa çözüm bulunması için katlı otoparklar veya alternatif park alanları oluşturulmasını talep ediyoruz.,2.0,2.03
Dere yataklarının temizlenmesi ve ıslah edilmesiyle sel ve taşkın riskinin azaltılmasını talep ediyoruz.,2.0,2.21
Belediyenin hizmetleri hakkında düzenli ve anlaşılır bilgilendirme yapılmasını talep ediyoruz.,2.0,2.07
"Şehirdeki boş ve atıl durumdaki binaların değerlendirilerek, sosyal veya kültürel amaçlarla kullanılmasını talep ediyoruz.",2.0,2.03
Gençlerin istihdamına yönelik projeler geliştirilmesi ve mesleki eğitim imkanlarının artırılmasını talep ediyoruz.,2.0,2.09
Yaşlı vatandaşların sosyal hayata katılımını destekleyecek etkinlikler ve hizmetler sunulmasını talep ediyoruz.,1.0,2.92
Şehirdeki gönüllülük faaliyetlerinin teşvik edilmesi ve desteklenmesi için çalışmalar yapılmasını talep ediyoruz.,2.0,2.06
Tüketici haklarının korunması ve vatandaşların bilinçlendirilmesi için çalışmalar yapılmasını talep ediyoruz.,2.0,2.1
Şehirdeki internet altyapısının güçlendirilmesi ve ücretsiz internet erişim noktalarının sayısının artırılmasını talep ediyoruz.,2.0,2.01
Kültür ve sanat etkinliklerinin sayısının artırılması ve daha geniş kitlelere ulaşmasının sağlanmasını talep ediyoruz.,2.0,2.09
Şehirdeki trafik işaret ve levhalarının standartlara uygun ve okunaklı hale getirilmesini talep ediyoruz.,3.0,2.15
Pazar yerlerindeki hijyen koşullarının iyileştirilmesi ve denetimlerin artırılmasını talep ediyoruz.,2.0,2.1
Şehirdeki turizm potansiyelinin değerlendirilmesi ve turizm gelirlerinin artırılması için çalışmalar yapılmasını talep ediyoruz.,2.0,2.18
Afet durumlarında kullanılacak ekipman ve malzeme depolarının oluşturulması ve güncel tutulmasını talep ediyoruz.,2.0,2.09
Şehirdeki spor tesislerinin sayısının artırılması ve mevcutların modernize edilmesini talep ediyoruz.,2.0,2.05
Çocukların ve gençlerin kitap okuma alışkanlığı kazanması için kütüphane sayısının artırılması ve etkinlikler düzenlenmesini talep ediyoruz.,2.0,2.02
Şehirdeki sanayi kuruluşlarının çevreye verdiği zararın en aza indirilmesi için denetimlerin sıklaştırılmasını talep ediyoruz.,2.0,2.07
Yerel yönetimlerin şeffaflık ilkesine uygun hareket etmesi ve vatandaşların bilgiye erişiminin kolaylaştırılmasını talep ediyoruz.,2.0,2.53
