metin,onem_skoru,labels,tahmin_skoru
Parktaki oturma bankları kırık.,1,1.0,0.92
Mahallede gece gaz kokusu yoğun hissediliyor.,5,5.0,3.14
"Su borusu patladı, taşkın yaşandı.",5,5.0,4.27
Sular kesildiğinde bilgilendirme yapılmıyor.,3,3.0,1.46
İlaçlama geç yapılıyor.,2,2.0,1.0
Yol kenarında derin çukur oluşmuş.,4,4.0,3.79
"Sokak kedilerinin sayısı hızla artıyor, artık sağlık ve temizlik sorunlarına yol açıyor.",2,2.0,3.3
Kanalizasyon kokusu geliyor.,3,3.0,3.03
Sokak köpekleri çoğaldı.,3,3.0,1.53
Acil durumda 112 ambulansı sokağa giremedi.,5,5.0,3.94
Yağmur sonrası su birikintisi kalıyor.,2,2.0,3.77
Ana caddede trafik lambası çalışmıyor.,5,5.0,2.39
"Mezarlık yolu çamur içinde, yaşlılar ulaşamıyor.",2,2.0,2.46
Su ve elektrik faturası işlemleri için belediyeye gelen vatandaşlar saatlerce sıra bekliyor.,2,2.0,3.41
"Sokaklarda temizlik yapılmıyor, çöpler birikiyor.",2,2.0,1.45
Parkta aydınlatma yok.,3,3.0,1.9
Çiçekliklerde toprak dağılmış.,0,0.0,1.12
Logar kapağı açık bırakılmış.,4,4.0,4.11
"Yol kenarları çok bozuk, bisiklet sürmek imkânsız.",3,3.0,4.14
Parkta elektrik panosu açıkta.,4,4.0,3.08
Mahalledeki parkta gece aydınlatma yok.,4,4.0,2.24
"Sokaklarda su birikiyor, sivrisinekler çoğaldı.",2,2.0,3.77
"Elektrik sürekli gidiyor, cihazlarımız zarar görüyor.",3,3.0,3.54
"Sokak lambaları gündüz yanıyor, gece sönüyor.",1,1.0,2.49
Kaldırım kenarında çukur oluşmuş.,2,2.0,1.95
Çocuk parkında kaydırak paslanmış.,1,1.0,3.03
Parkta bazı banklar yerinden oynuyor.,2,2.0,1.05
"Kütüphane önü çok pis, düzenli süpürülmüyor.",2,2.0,3.11
Mahalle tabelası düşmüş.,0,0.0,1.55
