metin,eksiler,kategori,onem_skoru
"Mahallemizdeki çöp konteynerleri uzun süredir dolu, sinek ve kötü koku yayılıyor.",4,Temizlik,4
"Mahallemizin sokak lambaları aylardır yanmıyor, geceleri çok korkuyoruz.",2,Güvenlik,2
"Otobüs şoförü telefonla konuşuyordu, neredeyse kaza yapıyorduk.",3,Ulaşım,3
"Yeni yapılan kaldırım tamamen eğri, engelli komşumuz tekerlekli sandalyesiyle geçemiyor.",2,Altyapı,2
"Sosyal yardım başvurusu yaptım ama geri dönüş alamıyorum, mağduriyetim büyük.",2,Sosyal Hizmet,2
"Sağlık ocağında muayene sırası çok yavaş ilerliyor, yaşlılar beklemekten yoruluyor.",2,Sağlık,2
"Gece parkta gençler alkol alıyor, kavga çıkıyor, mahalle huzursuz.",3,Güvenlik,3
"Yan binada kaçak kat çıktılar, kimse müdahale etmiyor.",2,İmar / Yapı,2
"Nereye başvurduysam bir muhatap bulamıyorum, kimse ilgilenmiyor.",2,Diğer,2
Sabahları işe giden insanlar otobüse binemiyor çünkü seferler çok seyrek.,3,Ulaşım,3
"Mahalledeki çocuk parkındaki salıncaklar kırık, çocuklar oynayamıyor.",2,Çevre,2
Asfalt yeni döküldü ama şimdiden çatlamaya başladı.,2,Altyapı,2
"Çöp arabası haftada sadece bir kez geliyor, sokak kokudan geçilmiyor.",2,Temizlik,2
"Sağlık randevusu alamıyoruz, sistem sürekli dolu gösteriyor.",2,Sağlık,2
"Elektrik direği sallanıyor, rüzgarlı günlerde korkutuyor.",2,Güvenlik,2
"Kurslara başvurdum ama yer kalmadığı söylendi, kayıt sistemi adil değil.",3,Eğitim,3
İnşaat gürültüsü sabahın çok erken saatlerinde başlıyor.,2,İmar / Yapı,2
"Suda sürekli kesinti yaşıyoruz, mağdur oluyoruz.",2,Altyapı,2
"Yağmur sonrası yollarda göletler oluşuyor, drenaj sistemi çalışmıyor.",2,Altyapı,2
"Mahallemizdeki parkta yeterince çöp kutusu yok, her yer kirleniyor.",2,Temizlik,2
Caddede hız yapan motorlar yüzünden çocuklarımızı dışarı çıkaramıyoruz.,2,Güvenlik,2
"Kaldırım taşları sökülmüş, yürümek çok zor.",2,Altyapı,2
"Randevu aldık ama doktor iptal etmiş, haber verilmedi.",2,Sağlık,2
"Pazar yerinde çöp birikiyor, zabıta da ilgilenmiyor.",2,Temizlik,2
"Sokak köpekleri grup halinde geziyor, korkuyoruz.",2,Güvenlik,2
"Toplu taşımada klima çalışmıyor, içerisi çok havasızdı.",2,Ulaşım,2
"Engelli rampası kırık, tekerlekli sandalye ile giriş imkansız.",2,Altyapı,2
"Zabıta ekipleri pazar yerinde denetim yapmıyor, herkes istediğini yapıyor.",2,Güvenlik,2
"Elektrikler her hafta birkaç saatliğine kesiliyor, planlama yapılmalı.",2,Altyapı,2
"Belediye otobüslerinde temizlik yetersiz, camlar kirliydi.",2,Ulaşım,2
"Alt geçitte sürekli su birikiyor, yürümek imkansız oluyor.",2,Altyapı,2
"Otobüs durağında ne tabela var ne saat bilgisi, beklerken neyin ne zaman geleceği belli değil.",2,Ulaşım,2
Mahallemizdeki eski bina çökmek üzere ama kimse ilgilenmiyor.,2,İmar / Yapı,2
"Yaz aylarında sinek istilası var, ilaçlama yapılmıyor.",2,Çevre,2
Kaldırım üzerine park eden araçlar yüzünden yolda yürümek zorunda kalıyoruz.,2,Güvenlik,2
"Yaşadığımız sokakta internet ve telefon altyapısı çok zayıf, sürekli kopma oluyor.",2,Altyapı,2
Çocuk oyun alanı gece ışıklandırılmadığı için karanlıkta tehlikeli oluyor.,2,Güvenlik,2
"Belediye binasına girişte engelli asansörü bozuk, kimse tamir etmiyor.",2,Altyapı,2
"Otobüslerde akbil cihazı bozuktu, herkes sıraya girdi, çok gecikme yaşandı.",3,Ulaşım,3
"Mahalledeki dere taştı, evler su bastı ama kimse gelmedi.",2,Altyapı,2
"Sokakta başıboş atlar geziyor, trafikte kaza riski oluşuyor.",2,Güvenlik,2
"Yeni yapılan bina komşuların güneşini tamamen kapattı, itiraz ettik ama sonuç yok.",2,İmar / Yapı,2
"Sokak lambası sürekli yanıp sönüyor, epilepsi hastaları için çok tehlikeli.",2,Güvenlik,2
"Pazar yerinde tuvalet yok, yaşlılar ve çocuklar çok zorlanıyor.",2,Sosyal Hizmet,2
"Atık pil kutuları kaldırılmış, okuldaki çocuklar artık bir yere bırakamıyor.",2,Çevre,2
"Durağın üstü açık, yağmurda insanlar sırılsıklam oluyor.",2,Ulaşım,2
"Mahallemize yıllardır asfalt dökülmedi, yollar delik deşik.",2,Altyapı,2
"Sosyal yardımla gönderilen kıyafetler eksik geldi, durumu bildirdik ama geri dönüş olmadı.",2,Sosyal Hizmet,2
"Köşe başındaki kavşakta trafik ışığı yok, her gün kaza tehlikesi atlatıyoruz.",2,Güvenlik,2
"Camideki tuvaletler çok kirli, temizlik yapılmıyor.",2,Temizlik,2
"Veteriner hizmeti için sırada saatlerce bekledik, çok yavaş ilerliyor.",2,Sağlık,2
"Sokakta her akşam yüksek sesle müzik açılıyor, uyuyamıyoruz.",3,Güvenlik,3
"Otobüs geldiğinde kapı arızalıydı, binemedik.",2,Ulaşım,2
"Caddemizde haftalardır sokak lambası yanmıyor, gece çok karanlık.",2,Güvenlik,2
"Asfalt çalışmaları sabah erken saatte başlıyor, gürültüden uyanıyoruz.",2,Altyapı,2
Sağlık taraması için randevu aldım ama görevliler gelmedi.,2,Sağlık,2
"Sokaktaki çöp konteynerinden kötü koku geliyor, uzun süredir temizlenmemiş.",2,Temizlik,2
"Yürüyüş parkurundaki taşlar gevşek, ayağım burkuldu.",2,Çevre,2
"Kütüphane hafta sonları kapalı oluyor, öğrenciler çalışacak yer bulamıyor.",2,Eğitim,2
"İzmirim Kart dolum makinesi sürekli bozuk, başka yere gitmek zorunda kalıyoruz.",2,Ulaşım,2
"Parkta güvenlik görevlisi yok, geceleri huzursuzluk oluyor.",2,Güvenlik,2
"Mahallemizdeki sokak tabelaları silinmiş, yön bulmak imkânsız.",2,Altyapı,2
"Çocuk parkında salıncak zinciri kopmak üzere, acil bakım gerekiyor.",2,Çevre,2
Otobüs şoförleri bazı duraklarda yolcu almadan geçiyor.,2,Ulaşım,2
Engelli vatandaşlar için rampalar karlı havalarda çok tehlikeli oluyor.,2,Altyapı,2
"Otobüs durakta çok uzun süre bekledi, trafik aksadı.",2,Ulaşım,2
"Su faturası aşırı yüksek geldi, herhangi bir sızıntı yok.",2,Altyapı,2
"Sokakta ilaçlama yapılmış ama bilgilendirme yapılmadı, dışarıda çocuklar vardı.",2,Çevre,2
